sid,year,week,cutting,printing
3-16-G,2023,2,0,1
3-23-D,2023,2,0,1
5-101,2023,2,0,1
5-97,2023,2,0,1
8-10-B,2023,2,0,1
11-102-A,2023,2,0,1
11-102-C,2023,2,0,1
11-104,2023,2,0,1
11-105-C,2023,2,0,1
11-106-B,2023,2,0,1
11-107-B,2023,2,0,1
11-108-B,2023,2,0,1
12-3,2023,2,0,1
16-35-A,2023,2,0,1
16-36-A,2023,2,0,1
16-37,2023,2,0,1
16-40,2023,2,0,1
19-2-G,2023,2,0,1
19-27-B,2023,2,0,1
20-12,2023,2,0,1
21-104,2023,2,0,1
21-107-T,2023,2,0,1
21-138,2023,2,0,1
21-166,2023,2,0,0
21-18,2023,2,0,1
22-17-AU,2023,2,0,1
11-93-F,2023,2,0,1
3-58,2023,2,0,1
9-4,2023,2,0,1
11-24-B,2023,2,0,1
11-25-D,2023,2,0,1
15-7,2023,2,0,1
1-5,2023,2,1,1
1-10,2023,2,0,1
2-5,2023,2,0,1
2-8,2023,2,0,1
2-27,2023,2,0,1
2-32,2023,2,0,1
2-38,2023,2,0,1
2-41,2023,2,0,1
2-67,2023,2,0,1
2-70,2023,2,0,1
3-6-J,2023,2,0,1
3-7-H,2023,2,0,1
3-16-D,2023,2,0,1
3-16-E,2023,2,0,1
3-18-D,2023,2,0,1
3-18-F,2023,2,0,1
3-23-C,2023,2,0,1
3-26-A,2023,2,0,1
3-29-C,2023,2,0,1
3-30-B,2023,2,0,1
3-30-E,2023,2,0,1
3-30-F,2023,2,0,1
3-35-B,2023,2,0,1
3-42,2023,2,0,1
3-52,2023,2,0,1
3-56,2023,2,0,1
4-5,2023,2,0,1
4-14-A,2023,2,0,1
5-46,2023,2,1,1
5-50-A1,2023,2,0,1
5-56,2023,2,1,1
5-58,2023,2,1,1
6-14-F,2023,2,1,1
6-19-C,2023,2,0,1
6-19-D,2023,2,0,1
6-23-A,2023,2,0,1
6-30-C,2023,2,1,1
6-34-F,2023,2,0,1
6-34-I,2023,2,0,1
7-55,2023,2,0,1
7-62,2023,2,0,1
8-5-D,2023,2,1,1
8-7-C,2023,2,0,1
8-7-E,2023,2,0,1
8-7-G,2023,2,0,1
8-7-I,2023,2,0,1
9-2,2023,2,0,1
9-5,2023,2,0,1
9-7,2023,2,0,1
9-8,2023,2,0,1
9-14-A,2023,2,0,1
9-20,2023,2,0,1
9-21,2023,2,0,1
9-23,2023,2,0,1
9-25,2023,2,0,1
9-26,2023,2,0,1
9-28,2023,2,0,1
9-30,2023,2,0,1
9-32,2023,2,0,1
9-33,2023,2,0,1
9-38,2023,2,0,1
10-2,2023,2,0,1
10-3,2023,2,0,1
10-4,2023,2,0,1
11-105-F,2023,2,0,1
11-105-G,2023,2,0,1
11-23,2023,2,0,1
11-24-D,2023,2,0,1
11-24-E,2023,2,0,1
11-25-B,2023,2,0,1
11-25-F,2023,2,0,1
11-26-H,2023,2,0,1
11-26-J,2023,2,0,1
11-26-L,2023,2,0,1
11-26-Q,2023,2,0,1
11-31-N,2023,2,0,1
11-68-B,2023,2,0,1
11-68-E,2023,2,0,1
11-68-G,2023,2,0,1
11-68-J,2023,2,0,1
11-68-L,2023,2,0,1
14-28,2023,2,0,1
16-10,2023,2,0,1
16-11-C,2023,2,0,1
16-14,2023,2,0,1
16-16,2023,2,0,1
16-18-A,2023,2,0,1
16-20,2023,2,0,1
16-21-C,2023,2,0,1
16-24,2023,2,0,1
19-2-E,2023,2,0,1
19-19-B,2023,2,0,1
19-19-C,2023,2,0,1
19-19-E,2023,2,0,1
19-20-F,2023,2,0,1
19-21-B,2023,2,0,1
19-22-E,2023,2,0,1
19-22-G,2023,2,1,1
20-1-B,2023,2,0,1
20-4-B,2023,2,0,1
20-4-D,2023,2,0,1
20-4-E,2023,2,0,1
20-6-A,2023,2,0,1
20-6-B,2023,2,0,1
20-6-C,2023,2,0,1
20-6-D,2023,2,0,1
20-6-E,2023,2,0,1
20-9-A,2023,2,0,1
20-9-K,2023,2,0,1
20-9-L,2023,2,0,1
20-9-S,2023,2,0,1
20-9-T,2023,2,0,1
20-9-V,2023,2,0,1
21-132,2023,2,0,1
22-2-A,2023,2,0,1
22-2-C,2023,2,0,1
22-6,2023,2,0,1
22-16-B,2023,2,0,1
22-17-AQ,2023,2,0,1
22-33,2023,2,0,1
1-2,2023,2,1,0
1-4,2023,2,1,0
1-7,2023,2,1,0
1-9,2023,2,1,0
1-14-B,2023,2,2,0
1-16,2023,2,1,0
2-2,2023,2,1,0
2-4-A,2023,2,1,0
2-6,2023,2,1,0
2-7,2023,2,1,0
2-9,2023,2,1,0
2-15,2023,2,1,0
2-16,2023,2,1,0
2-22,2023,2,1,0
2-26,2023,2,1,0
2-33,2023,2,1,0
2-36,2023,2,1,0
2-42-C,2023,2,1,0
2-43,2023,2,1,0
2-46,2023,2,1,0
2-48,2023,2,1,0
2-51,2023,2,1,0
2-54,2023,2,1,0
2-58,2023,2,1,0
2-59,2023,2,1,0
2-61,2023,2,1,0
2-66,2023,2,1,0
2-73,2023,2,1,0
2-79,2023,2,1,0
2-81,2023,2,1,0
2-82,2023,2,1,0
2-85,2023,2,1,0
2-87,2023,2,1,0
2-88,2023,2,1,0
2-89,2023,2,1,0
2-91,2023,2,1,0
3-5-C,2023,2,1,0
3-6-I,2023,2,1,0
3-7-C,2023,2,1,0
3-7-E,2023,2,1,0
3-7-F,2023,2,1,0
3-8,2023,2,1,0
3-9-C,2023,2,1,0
3-9-G,2023,2,1,0
3-11,2023,2,1,0
3-13,2023,2,1,0
3-15,2023,2,1,0
3-16-A,2023,2,1,0
3-16-B,2023,2,1,0
3-16-F,2023,2,1,0
3-17,2023,2,1,0
3-18-A,2023,2,1,0
3-18-H,2023,2,1,0
3-19-B,2023,2,1,0
3-22,2023,2,1,0
3-23-A,2023,2,1,0
3-23-B,2023,2,1,0
3-24-B,2023,2,1,0
3-25-B,2023,2,1,0
3-28-A,2023,2,1,0
3-28-F,2023,2,1,0
3-28-H,2023,2,1,0
3-28-J,2023,2,1,0
3-29-A,2023,2,1,0
3-30-A,2023,2,1,0
3-32,2023,2,1,0
3-34,2023,2,1,0
3-36-B,2023,2,1,0
3-38,2023,2,1,0
3-41,2023,2,1,0
3-55,2023,2,1,0
3-61,2023,2,1,0
3-62,2023,2,1,0
3-63,2023,2,1,0
4-1,2023,2,1,0
4-2,2023,2,1,0
4-3,2023,2,1,0
4-4,2023,2,1,0
4-16,2023,2,1,0
4-17-B,2023,2,1,0
4-17-C,2023,2,1,0
4-17-D,2023,2,1,0
5-2,2023,2,1,0
5-4,2023,2,1,0
5-6,2023,2,1,0
5-8,2023,2,1,0
5-10,2023,2,1,0
5-12,2023,2,1,0
5-14,2023,2,1,0
5-16,2023,2,1,0
5-18,2023,2,1,0
5-20,2023,2,1,0
5-22,2023,2,1,0
5-24,2023,2,1,0
5-26,2023,2,1,0
5-28,2023,2,1,0
5-30,2023,2,1,0
5-32,2023,2,1,0
5-34,2023,2,1,0
5-36,2023,2,1,0
5-38,2023,2,1,0
5-40,2023,2,1,0
5-42,2023,2,1,0
5-44,2023,2,1,0
5-50-A2,2023,2,1,0
5-52,2023,2,1,0
5-54,2023,2,1,0
5-61,2023,2,1,0
5-63,2023,2,1,0
5-65,2023,2,1,0
5-67,2023,2,1,0
5-69,2023,2,1,0
5-71,2023,2,1,0
5-73,2023,2,1,0
5-75,2023,2,1,0
5-77,2023,2,1,0
5-79,2023,2,1,0
5-80-B,2023,2,1,0
5-84,2023,2,1,0
5-87,2023,2,1,0
5-89,2023,2,1,0
5-91,2023,2,1,0
5-93,2023,2,1,0
5-95,2023,2,1,0
5-99,2023,2,1,0
6-1-C,2023,2,1,0
6-3-A,2023,2,1,0
6-3-C,2023,2,1,0
6-6,2023,2,1,0
6-7-B,2023,2,1,0
6-8-A,2023,2,1,0
6-8-F,2023,2,1,0
6-10-B,2023,2,1,0
6-10-G,2023,2,1,0
6-11-B,2023,2,1,0
6-11-E,2023,2,1,0
6-11-G,2023,2,1,0
6-13-A,2023,2,1,0
6-13-C,2023,2,1,0
6-13-E,2023,2,1,0
6-14-A,2023,2,1,0
6-14-B,2023,2,1,0
6-14-C,2023,2,1,0
6-14-D,2023,2,1,0
6-16-B,2023,2,1,0
6-18,2023,2,1,0
6-20-A,2023,2,1,0
6-21-B,2023,2,1,0
6-21-E,2023,2,1,0
6-22-C,2023,2,1,0
6-22-F,2023,2,1,0
6-23-C,2023,2,1,0
6-23-H,2023,2,1,0
6-25-C,2023,2,1,0
6-25-E,2023,2,1,0
6-25-G,2023,2,1,0
6-27-A1,2023,2,1,0
6-27-A2,2023,2,1,0
6-27-C,2023,2,1,0
6-28-B,2023,2,1,0
6-28-C,2023,2,1,0
6-28-G,2023,2,1,0
6-29-A,2023,2,1,0
6-29-D,2023,2,1,0
6-29-E,2023,2,1,0
6-29-F,2023,2,1,0
6-30-D,2023,2,1,0
6-31,2023,2,1,0
6-32-A,2023,2,1,0
6-33-B,2023,2,1,0
6-33-E,2023,2,1,0
6-33-G,2023,2,1,0
6-34-A,2023,2,1,0
6-34-C,2023,2,1,0
6-34-J,2023,2,1,0
6-35-C,2023,2,1,0
6-35-D,2023,2,1,0
6-36-D,2023,2,1,0
6-36-F,2023,2,1,0
6-40-A,2023,2,1,0
6-44-A,2023,2,1,0
6-44-B,2023,2,1,0
6-44-D,2023,2,1,0
6-44-F,2023,2,1,0
6-46,2023,2,1,0
7-6,2023,2,1,0
7-8-A,2023,2,1,0
7-10,2023,2,1,0
7-17,2023,2,1,0
7-24,2023,2,1,0
7-31,2023,2,1,0
7-33,2023,2,1,0
7-38,2023,2,1,0
7-49,2023,2,1,0
7-52,2023,2,1,0
7-58,2023,2,1,0
7-60,2023,2,1,0
8-2-B,2023,2,1,0
8-2-E,2023,2,1,0
8-2-G,2023,2,1,0
8-4,2023,2,1,0
8-7-J,2023,2,1,0
8-9,2023,2,1,0
9-11,2023,2,1,0
9-24,2023,2,1,0
9-34,2023,2,1,0
9-35,2023,2,1,0
9-39,2023,2,1,0
10-6,2023,2,1,0
11-1-B,2023,2,1,0
11-2-B,2023,2,1,0
11-4,2023,2,1,0
11-6-A,2023,2,1,0
11-6-C,2023,2,1,0
11-6-E,2023,2,1,0
11-7-B,2023,2,1,0
11-8-B,2023,2,1,0
11-9-C,2023,2,1,0
11-9-E,2023,2,1,0
11-9-G,2023,2,1,0
11-100-A,2023,2,1,0
11-100-B,2023,2,1,0
11-30-H,2023,2,1,0
11-105-D,2023,2,1,0
11-105-E,2023,2,1,0
11-105-H,2023,2,1,0
11-105-I,2023,2,1,0
11-105-J,2023,2,1,0
11-105-K,2023,2,1,0
11-105-L,2023,2,1,0
11-105-M,2023,2,1,0
11-105-N,2023,2,1,0
11-109,2023,2,1,0
11-11,2023,2,1,0
11-110-A,2023,2,1,0
11-12,2023,2,1,0
11-13-B,2023,2,1,0
11-13-D,2023,2,1,0
11-14-B,2023,2,1,0
11-15-B,2023,2,1,0
11-16,2023,2,1,0
11-17,2023,2,1,0
11-19-B,2023,2,1,0
11-20-B,2023,2,1,0
11-21,2023,2,1,0
11-22-B,2023,2,1,0
11-22-D,2023,2,1,0
11-26-B,2023,2,1,0
11-26-D,2023,2,1,0
11-26-F,2023,2,1,0
11-26-M,2023,2,1,0
11-26-O,2023,2,1,0
11-26-P,2023,2,1,0
11-26-X,2023,2,1,0
11-28-A,2023,2,1,0
11-28-D,2023,2,1,0
11-29-B,2023,2,1,0
11-30-B,2023,2,1,0
11-30-D,2023,2,1,0
11-30-F,2023,2,1,0
11-31-A,2023,2,1,0
11-31-B,2023,2,1,0
11-31-C,2023,2,1,0
11-31-D,2023,2,1,0
11-31-E,2023,2,1,0
11-31-F,2023,2,1,0
11-31-G,2023,2,1,0
11-31-H,2023,2,1,0
11-31-J,2023,2,1,0
11-31-K,2023,2,1,0
11-31-O,2023,2,1,0
11-31-P,2023,2,1,0
11-31-Q,2023,2,1,0
11-33-A,2023,2,1,0
11-35,2023,2,1,0
11-36,2023,2,1,0
11-37-B,2023,2,1,0
11-37-C,2023,2,1,0
11-39,2023,2,1,0
11-41,2023,2,1,0
11-43-A,2023,2,1,0
